Base Ticker,Company Name,Preferred Stock,Last Price,Full Name,Weight (%),Market Value,Original Name
AXS,AXIS,AXS,20.2,AXIS CAPITAL HOLDINGS LTD,0.24,33125939.6,AXIS CAPITAL HOLDINGS LTD
WTFC,WINTRUST FINANCIAL,WTFC,26.52,WINTRUST FINANCIAL CORPORATION,0.24,33492771.0,WINTRUST FINANCIAL CORPORATION
SCHW,CHARLES SCHWAB CORPORATION (THE),SCHW,18.76,CHARLES SCHWAB CORPORATION (THE),0.24,33485324.32,CHARLES SCHWAB CORPORATION (THE)
USB,US BANCORP,USB,776.68,US BANCORP,0.24,33615487.08,US BANCORP
MTB,M T BK DEP INT PERP PFD STK SER J,MTB,25.23,M&T BANK CORPORATION,0.24,33875059.5,M&T BANK CORPORATION
NLY,ANNALY CAPITAL MANAGEMENT,NLY,25.79,ANNALY CAPITAL MANAGEMENT INC,0.24,33851928.21,ANNALY CAPITAL MANAGEMENT INC
PSA,PUBLIC STORAGE,PSA,18.73,PUBLIC STORAGE,0.23,31482170.66,PUBLIC STORAGE
CHSINC,CHS CUMULATIVE REDEEMABLE PREF CLA,CHSINC,25.45,CHS INC,0.23,31801378.35,CHS INC
BPY,BROOKFIELD PROPERTY PREFERRED PREF,BPY,15.76,BROOKFIELD PROPERTY PREFERRED PREF,0.23,31466447.52,BROOKFIELD PROPERTY PREFERRED PREF
NLY,ANNALY CAPITAL MANAGEMENT,NLY,25.29,ANNALY CAPITAL MANAGEMENT INC,0.23,32409413.19,ANNALY CAPITAL MANAGEMENT INC
CFG,CITIZENS FINANCIAL GROUP,CFG,26.3,CITIZENS FINANCIAL GROUP INC,0.23,31718194.5,CITIZENS FINANCIAL GROUP INC
AMG,AFFILIATED MANAGERS GROUP INC.,AMG,24.33,AFFILIATED MANAGERS GROUP INC.,0.23,32478189.99,AFFILIATED MANAGERS GROUP INC.
AGNC,AGNC INVESTMENT,AGNC,25.49,AGNC INVESTMENT CORP,0.22,30520069.15,AGNC INVESTMENT CORP
CFG,CITIZENS FINANCIAL GROUP,CFG,25.52,CITIZENS FINANCIAL GROUP INC,0.22,30367830.24,CITIZENS FINANCIAL GROUP INC
RGA,REINSURANCE GROUP OF AMERICA INCOR,RGA,25.12,REINSURANCE GROUP OF AMERICA INCOR,0.22,29891845.44,REINSURANCE GROUP OF AMERICA INCOR
MS,MORGAN STANLEY,MS,20.48,MORGAN STANLEY,0.22,30464860.16,MORGAN STANLEY
BAC,BANK OF AMERICA,BAC,17.08,BANK OF AMERICA DRC CORP,0.22,30208268.72,BANK OF AMERICA DRC CORP
RITM,NEW RESIDENTIAL INVESTMENT,RITM,24.48,NEW RESIDENTIAL INVESTMENT CORP,0.21,28954181.0,NEW RESIDENTIAL INVESTMENT CORP
TMUS,T-MOBILE USA,TMUS,25.05,T-MOBILE USA INC,0.21,29322628.2,T-MOBILE USA INC
SO,SOUTHERN COMPANY (THE),SO,22.17,SOUTHERN COMPANY (THE),0.21,29682104.11,SOUTHERN COMPANY (THE)
PSA,PUBLIC STORAGE,PSA,16.1,PUBLIC STORAGE,0.21,28917145.6,PUBLIC STORAGE
TPG,TPG OPERATING GROUP II LP,TPG,24.91,TPG OPERATING GROUP II LP,0.21,29641953.42,TPG OPERATING GROUP II LP
KEY,KEYCORP,KEY,21.99,KEYCORP,0.21,29441267.52,KEYCORP
TDS,TELEPHONE AND DATA SYSTEMS,TDS,22.18,TELEPHONE DATA SYS DRC INC,0.2,27715307.34,TELEPHONE DATA SYS DRC INC
TMUS,T-MOBILE USA,TMUS,22.83,T-MOBILE USA INC,0.2,27220825.41,T-MOBILE USA INC
TRPCN,TRANSCANADA PIPELINES,TRPCN,24.62,TRANSCANADA PIPELINES LTD,0.2,27103000.86,TRANSCANADA PIPELINES LTD
ATH,ATHENE HOLDING DS REPRESENTING P,ATH,16.58,ATHENE HOLDING DS REPRESENTING A,0.2,28362643.32,ATHENE HOLDING DS REPRESENTING A
KEY,KEYCORP,KEY,22.06,KEYCORP,0.2,27891671.3,KEYCORP
CFG,CITIZENS FINANCIAL GROUP,CFG,19.47,CITIZENS FINANCIAL GROUP INC,0.19,25989412.68,CITIZENS FINANCIAL GROUP INC
AGNC,AGNC INVESTMENT,AGNC,25.98,AGNC INVESTMENT CORP,0.19,26666547.48,AGNC INVESTMENT CORP
ACGL,ARCH CAPITAL GROUP LTD.,ACGL,17.45,ARCH CAPITAL GROUP LTD.,0.19,25882625.25,ARCH CAPITAL GROUP LTD.
BAC,BANK OF AMERICA,BAC,19.63,BANK OF AMERICA CORP,0.19,26028535.91,BANK OF AMERICA CORP
FG,F&G ANNUITIES & LIFE,FG,25.76,F&G ANNUITIES & LIFE INC,0.19,26362680.96,F&G ANNUITIES & LIFE INC
HBAN,HUNTINGTON BANCSHARES,HBAN,17.4,HUNTINGTON BANCSHARES DRC INC,0.19,25807001.4,HUNTINGTON BANCSHARES DRC INC
KKR,KKR &,KKR,17.5,KKR GROUP FINANCE CO IX LLC,0.19,26346320.0,KKR GROUP FINANCE CO IX LLC
EIX,SCE TRUST VII,EIX,18.51,SCE TRUST VI,0.19,26156481.0,SCE TRUST VI
CG,CARLYLE FINANCE LLC,CG,17.35,CARLYLE FINANCE LLC,0.19,25808853.7,CARLYLE FINANCE LLC
ETR,ENTERGY ARKANSAS LLC,ETR,21.17,ENTERGY ARKANSAS LLC,0.19,25822382.71,ENTERGY ARKANSAS LLC
PNFP,PINNACLE FINANCIAL PARTNERS NON CU,PNFP,25.92,PINNACLE FINANCIAL PARTNERS NON CU,0.19,27013279.68,PINNACLE FINANCIAL PARTNERS NON CU
AQNCN,ALGONQUIN POWER & UTILITIES,AQNCN,25.81,ALGONQUIN POWER & UTILITIES CORP,0.19,26875127.08,ALGONQUIN POWER & UTILITIES CORP
DTE,DTE ENERGY,DTE,22.08,DTE ENERGY COMPANY,0.19,26274360.96,DTE ENERGY COMPANY
CHSINC,CHS CUMULATIVE REDEEMABLE PREF CLA,CHSINC,28.34,CHS INC. (8% CUMULATIVE REDEEMABLE,0.19,25864330.96,CHS INC. (8% CUMULATIVE REDEEMABLE
TMUS,T-MOBILE USA,TMUS,22.7,T-MOBILE USA INC,0.19,26658448.7,T-MOBILE USA INC
PRU,PRUDENTIAL FINANCIAL,PRU,17.49,PRUDENTIAL FINANCIAL INC,0.19,26017127.07,PRUDENTIAL FINANCIAL INC
AGNC,AGNC INVESTMENT,AGNC,25.55,AGNC INVESTMENT CORP,0.18,24703043.05,AGNC INVESTMENT CORP
RLJ,RLJ LODGING .95 CUMULATIVE CONVERT,RLJ,25.51,RLJ LODGING .95 CUMULATIVE CONVERT,0.18,24435467.78,RLJ LODGING .95 CUMULATIVE CONVERT
USB,US BANCORP,USB,18.37,US BANCORP,0.18,24521084.28,US BANCORP
FG,F&G ANNUITIES & LIFE,FG,22.02,F&G ANNUITIES & LIFE INC,0.18,24900414.18,F&G ANNUITIES & LIFE INC
HBAN,HUNTINGTON BANCSHARES,HBAN,25.35,HUNTINGTON BANCSHARES INC,0.18,24449973.6,HUNTINGTON BANCSHARES INC
EIX,SCE TRUST VII,EIX,24.24,SCE TRUST VIII,0.18,25240433.28,SCE TRUST VIII
HIG,HARTFORD FINANCIAL SERVICES GROUP,HIG,24.88,HARTFORD FINANCIAL SERVICES GROUP,0.18,25462266.64,HARTFORD FINANCIAL SERVICES GROUP
BHF,BRIGHTHOUSE FINANCIAL,BHF,13.45,BRIGHTHOUSE FINANCIAL INC,0.17,23319327.55,BRIGHTHOUSE FINANCIAL INC
NTRS,NORTHERN TRUST,NTRS,19.48,NORTHERN TRUST CORPORATION,0.17,23493152.72,NORTHERN TRUST CORPORATION
RNR,RENAISSANCERE HOLDINGS,RNR,15.95,RENAISSANCERE HOLDINGS LTD,0.17,23726294.9,RENAISSANCERE HOLDINGS LTD
UMBF,UMB FINANCIAL,UMBF,26.91,UMB FINANCIAL CORPORATION,0.17,23951819.99,UMB FINANCIAL CORPORATION
NGL,NGL ENERGY PARTNERS LP,NGL,24.5,NGL ENERGY PARTNERS LP,0.17,22907794.0,NGL ENERGY PARTNERS LP
VOYA,VOYA FINANCIAL,VOYA,24.17,VOYA FINANCIAL INC,0.16,21571700.83,VOYA FINANCIAL INC
PRU,PRUDENTIAL FINANCIAL,PRU,24.93,PRUDENTIAL FINANCIAL INC,0.16,22250000.07,PRUDENTIAL FINANCIAL INC
UMH,UMH PROPERTIES,UMH,22.47,UMH PROPERTIES INC,0.16,21518077.28,UMH PROPERTIES INC
CIM,CHIMERA INVESTMENT,CIM,23.52,CHIMERA INVESTMENT CORP,0.16,22745169.77,CHIMERA INVESTMENT CORP
ASB,ASSOCIATED BANC-CORP,ASB,24.8,ASSOCIATED BANC-CORP,0.16,22133355.2,ASSOCIATED BANC-CORP
ANGINC,AMERICAN NATIONAL GROUP,ANGINC,25.05,AMERICAN NATIONAL GROUP INC,0.16,22357099.95,AMERICAN NATIONAL GROUP INC
PBI,PITNEY BOWES,PBI,20.33,PITNEY BOWES INC,0.16,21576859.23,PITNEY BOWES INC
USB,US BANCORP,USB,15.34,US BANCORP,0.16,22751536.34,US BANCORP
UNM,UNUM GROUP,UNM,23.33,UNUM GROUP,0.15,20822001.67,UNUM GROUP
WAL,WESTERN ALLIANCE BANCORP,WAL,23.38,WESTERN ALLIANCE BANCORP,0.15,20801552.75,WESTERN ALLIANCE BANCORP
ASSE,STRIVE,ASSE,82.5,STRIVE INC,0.15,20336415.0,STRIVE INC
RITM,NEW RESIDENTIAL INVESTMENT,RITM,25.07,NEW RESIDENTIAL INVESTMENT CORP,0.15,21284981.54,NEW RESIDENTIAL INVESTMENT CORP
PSA,PUBLIC STORAGE,PSA,16.05,PUBLIC STORAGE,0.15,20771990.25,PUBLIC STORAGE
COF,CAPITAL ONE FINANCIAL,COF,16.74,CAPITAL ONE FINL DS REPSTG TH PRF,0.15,21166139.7,CAPITAL ONE FINL DS REPSTG TH PRF
ATH,ATHENE HOLDING DS REPRESENTING P,ATH,19.66,ATHENE HLDG DRC LTD,0.15,20310352.8,ATHENE HLDG DRC LTD
NLY,ANNALY CAPITAL MANAGEMENT,NLY,26.08,ANNALY CAPITAL MANAGEMENT INC,0.15,21339960.0,ANNALY CAPITAL MANAGEMENT INC
DLR,DIGITAL REALTY TRUST,DLR,20.48,DIGITAL REALTY TRUST INC,0.15,21016072.35,DIGITAL REALTY TRUST INC
